"filename", "language", "Ignore", "CMake", "PL/SQL", "Docker", "C++", "Markdown", "Log", "CSV", "XML", "C", "Makefile", "Shell Script", "YAML", "comment", "blank", "total"
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlproc.h", "C++", 0, 0, 0, 0, 1826, 0, 0, 0, 0, 0, 0, 0, 0, 8433, 996, 11255
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlsch.h", "C++", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 612, 49, 800
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlsoap.h", "C++", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 827, 46, 963
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlsoap.hpp", "C++", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 506, 51, 647
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlsoapc.hpp", "C++", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 27, 31, 180
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlurl.h", "C++", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 839, 78, 1085
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlxptr.h", "C++", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 186, 26, 254
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlxsl.h", "C++", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 590, 51, 729
"d:\Programming\web\tuongtac\backend\include\bac_lib\include\oracle\occi\instantclient_23_8\sdk\include\xmlxvm.h", "C++", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 1209, 63, 1372
"d:\Programming\web\tuongtac\backend\include\bac_lib\orcl\base_pobject.h", "C++", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 85, 19, 171
"d:\Programming\web\tuongtac\backend\include\bac_lib\orcl\oracle_query.h", "C++", 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 147, 25, 391
"d:\Programming\web\tuongtac\backend\include\bac_lib\service\email_service.cc", "C++", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 29
"d:\Programming\web\tuongtac\backend\include\bac_lib\service\email_service.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 39
"d:\Programming\web\tuongtac\backend\include\bac_lib\tool\finance.cc", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15
"d:\Programming\web\tuongtac\backend\include\bac_lib\tool\finance.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 22
"d:\Programming\web\tuongtac\backend\include\bac_lib\tool\tool.cc", "C++", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 86
"d:\Programming\web\tuongtac\backend\include\bac_lib\tool\tool.h", "C++", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 46, 15, 128
"d:\Programming\web\tuongtac\backend\include\bac_lib\type\date.cc", "C++", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38, 168
"d:\Programming\web\tuongtac\backend\include\bac_lib\type\date.h", "C++", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27, 111
"d:\Programming\web\tuongtac\backend\main.sql", "PL/SQL", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115
"d:\Programming\web\tuongtac\backend\src\App.cpp", "C++", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 76
"d:\Programming\web\tuongtac\backend\src\AppComponent.hpp", "C++", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 18, 19, 88
"d:\Programming\web\tuongtac\backend\src\auth\auth_handler.cc", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 12
"d:\Programming\web\tuongtac\backend\src\auth\auth_handler.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 23
"d:\Programming\web\tuongtac\backend\src\auth\cookie_handler.cc", "C++", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 51
"d:\Programming\web\tuongtac\backend\src\auth\cookie_handler.h", "C++", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 28
"d:\Programming\web\tuongtac\backend\src\auth\jwt.cc", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 26
"d:\Programming\web\tuongtac\backend\src\auth\jwt.h", "C++", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 33
"d:\Programming\web\tuongtac\backend\src\components\database_component.h", "C++", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 37
"d:\Programming\web\tuongtac\backend\src\components\service_component.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 25
"d:\Programming\web\tuongtac\backend\src\components\swagger_component.h", "C++", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 36
"d:\Programming\web\tuongtac\backend\src\config\database.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 16
"d:\Programming\web\tuongtac\backend\src\config\frontend.h", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 13
"d:\Programming\web\tuongtac\backend\src\controller\MyController.cpp", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\Programming\web\tuongtac\backend\src\controller\MyController.hpp", "C++", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 40
"d:\Programming\web\tuongtac\backend\src\controller\auth_controller.cc", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"d:\Programming\web\tuongtac\backend\src\controller\auth_controller.h", "C++", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 59
"d:\Programming\web\tuongtac\backend\src\controller\booking_controller.cc", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"d:\Programming\web\tuongtac\backend\src\controller\booking_controller.h", "C++", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 39
"d:\Programming\web\tuongtac\backend\src\controller\client_controller.cc", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 7
"d:\Programming\web\tuongtac\backend\src\controller\client_controller.h", "C++", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 39
"d:\Programming\web\tuongtac\backend\src\controller\order_controller.cc", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"d:\Programming\web\tuongtac\backend\src\controller\order_controller.h", "C++", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 37
"d:\Programming\web\tuongtac\backend\src\dto\DTOs.hpp", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 25
"d:\Programming\web\tuongtac\backend\src\dto\auth_dto.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"d:\Programming\web\tuongtac\backend\src\dto\booking_service_dto.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 67
"d:\Programming\web\tuongtac\backend\src\dto\client_dto.h", "C++", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 77
"d:\Programming\web\tuongtac\backend\src\dto\error_dto.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 30
"d:\Programming\web\tuongtac\backend\src\dto\order_dto.h", "C++", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 93
"d:\Programming\web\tuongtac\backend\src\dto\server_dto.h", "C++", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 53
"d:\Programming\web\tuongtac\backend\src\dto\transaction_dto.h", "C++", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 68
"d:\Programming\web\tuongtac\backend\src\entity\client\client.cc", "C++", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 76
"d:\Programming\web\tuongtac\backend\src\entity\client\client.h", "C++", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 55
"d:\Programming\web\tuongtac\backend\src\entity\order\order.cc", "C++", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 56
"d:\Programming\web\tuongtac\backend\src\entity\order\order.h", "C++", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 60
"d:\Programming\web\tuongtac\backend\src\entity\server\server.cc", "C++", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 71
"d:\Programming\web\tuongtac\backend\src\entity\server\server.h", "C++", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 59
"d:\Programming\web\tuongtac\backend\src\entity\service_booking\booking.cc", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 25
"d:\Programming\web\tuongtac\backend\src\entity\service_booking\booking.h", "C++", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 38
"d:\Programming\web\tuongtac\backend\src\entity\service_booking\service.cc", "C++", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 27
"d:\Programming\web\tuongtac\backend\src\entity\service_booking\service.h", "C++", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 42
"d:\Programming\web\tuongtac\backend\src\entity\transaction\transaction.cc", "C++", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 48
"d:\Programming\web\tuongtac\backend\src\entity\transaction\transaction.h", "C++", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 74
"d:\Programming\web\tuongtac\backend\src\error_handler.cc", "C++", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 43
"d:\Programming\web\tuongtac\backend\src\error_handler.h", "C++", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 27
"d:\Programming\web\tuongtac\backend\src\global\global.cc", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"d:\Programming\web\tuongtac\backend\src\global\global.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 16
"d:\Programming\web\tuongtac\backend\src\interceptor\auth_interceptor.cc", "C++", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 38
"d:\Programming\web\tuongtac\backend\src\interceptor\auth_interceptor.h", "C++", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 27
"d:\Programming\web\tuongtac\backend\src\interceptor\cor_response_intercepter.h", "C++", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 26
"d:\Programming\web\tuongtac\backend\src\interceptor\response_intercepter.cc", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"d:\Programming\web\tuongtac\backend\src\mapping\mapping_pobject.cc", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 39
"d:\Programming\web\tuongtac\backend\src\mapping\mapping_pobject.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 13
"d:\Programming\web\tuongtac\backend\src\modul\bill_total.cc", "C++", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 84
"d:\Programming\web\tuongtac\backend\src\modul\bill_total.h", "C++", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 61
"d:\Programming\web\tuongtac\backend\src\repo\booking_repo.cc", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"d:\Programming\web\tuongtac\backend\src\repo\booking_repo.h", "C++", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 31
"d:\Programming\web\tuongtac\backend\src\repo\client_repo.cc", "C++", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 47
"d:\Programming\web\tuongtac\backend\src\repo\client_repo.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 30
"d:\Programming\web\tuongtac\backend\src\repo\order_repo.cc", "C++", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 32
"d:\Programming\web\tuongtac\backend\src\repo\order_repo.h", "C++", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 22
"d:\Programming\web\tuongtac\backend\src\repo\server_repo.cc", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 11
"d:\Programming\web\tuongtac\backend\src\repo\server_repo.h", "C++", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 19
"d:\Programming\web\tuongtac\backend\src\repo\service_repo.cc", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 10
"d:\Programming\web\tuongtac\backend\src\repo\service_repo.h", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 24
"d:\Programming\web\tuongtac\backend\src\repo\transaction_repo.cc", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"d:\Programming\web\tuongtac\backend\src\repo\transaction_repo.h", "C++", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 26
"d:\Programming\web\tuongtac\backend\src\service\auth_service.cc", "C++", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 51
"d:\Programming\web\tuongtac\backend\src\service\auth_service.h", "C++", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 38
"d:\Programming\web\tuongtac\backend\src\service\booking_service.cc", "C++", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"d:\Programming\web\tuongtac\backend\src\service\booking_service.h", "C++", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 23
"d:\Programming\web\tuongtac\backend\src\service\client_service.cc", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 15
"d:\Programming\web\tuongtac\backend\src\service\client_service.h", "C++", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 24
"d:\Programming\web\tuongtac\backend\src\service\order_service.cc", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"d:\Programming\web\tuongtac\backend\src\service\order_service.h", "C++", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 21
"d:\Programming\web\tuongtac\backend\temp.sql", "PL/SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\web\tuongtac\backend\test\MyControllerTest.cpp", "C++", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 62
"d:\Programming\web\tuongtac\backend\test\MyControllerTest.hpp", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"d:\Programming\web\tuongtac\backend\test\app\MyApiTestClient.hpp", "C++", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 29
"d:\Programming\web\tuongtac\backend\test\app\TestComponent.hpp", "C++", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 77
"d:\Programming\web\tuongtac\backend\test\tests.cpp", "C++", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 28
"d:\Programming\web\tuongtac\backend\utility\install-oatpp-modules.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 4, 17, 50
"Total", "-", 1, 145, 338, 9, 25876, 37, 178, 31, 281, 396, 60, 29, 88, 66997, 8977, 103443